YouTube ID,start seconds,label,train/test split
OPJcmpg09Dw,126,airplane flyby,train
K3HC7cgJL3U,116,airplane flyby,train
SZFKobdvpV4,86,airplane flyby,train
kN5p96Brr2Q,1,airplane flyby,train
hfhIZsXdNTg,86,airplane flyby,train
R-WeWzD4wuw,22,airplane flyby,train
9Twv1-flnUw,143,airplane flyby,train
TbmWBasVYf8,51,airplane flyby,train
IQi-IaFO3kk,31,airplane flyby,train
JultKcPcKjk,207,airplane flyby,train
2tySiVDqMw4,138,airplane flyby,train
EUrkjSUU11c,4,airplane flyby,train
gScZGcDSTEA,133,airplane flyby,train
arh5lmgyb8Q,14,airplane flyby,train
MAujzrodH74,43,airplane flyby,train
GjsAXnGB27M,42,airplane flyby,train
k5qy4F4j8A8,13,airplane flyby,train
uOhPVEvG8yw,74,airplane flyby,train
aLvtTXSUagk,2,airplane flyby,train
9UPjyNjGPLk,189,airplane flyby,train
44N6kHamYxk,51,airplane flyby,train
A5LDt9pLZ3o,44,airplane flyby,train
9Twv1-flnUw,113,airplane flyby,train
BJEaIuaFBzY,49,airplane flyby,train
rv2GoYp8Zaw,49,airplane flyby,train
cLC4dupIafk,61,airplane flyby,train
oT6lB4NVjO4,150,airplane flyby,train
DTU30MNjCx0,76,airplane flyby,train
Z81T3-3dzzA,5,airplane flyby,train
krQeUeqTO4k,108,airplane flyby,train
InJb8KzTVM8,53,airplane flyby,train
B1SipVuaIhM,204,airplane flyby,train
eisk1CSIUK4,223,airplane flyby,train
eddv2gWkR1s,86,airplane flyby,train
IxnOErUaRsE,641,airplane flyby,train
a9tFuar3gr0,13,airplane flyby,train
9RUUoJLGil8,37,airplane flyby,train
y87yY60QgBY,92,airplane flyby,train
eCC6ZbZvG8I,13,airplane flyby,train
iyVAmGOzn-o,5,airplane flyby,train
YU3Z4YdmWxM,52,airplane flyby,train
-C8RKRnU2pg,29,airplane flyby,train
-zfLijU15AA,18,airplane flyby,train
InJb8KzTVM8,86,airplane flyby,train
C15OjqjMXsU,6,airplane flyby,train
MeoQ4yTvkAg,17,airplane flyby,train
SiAW6u4Yt1w,282,airplane flyby,train
arh5lmgyb8Q,4,airplane flyby,train
glzG9lizkSc,154,airplane flyby,train
KW0Tbjni7GY,0,airplane flyby,train
KJb-GC9EMJM,58,airplane flyby,train
jp2VBXWnW-M,23,airplane flyby,train
wmCDxr4JcfQ,4,airplane flyby,train
MGaM-X5x8H4,8,airplane flyby,train
A5LDt9pLZ3o,103,airplane flyby,train
Zqhvd5rBuz4,46,airplane flyby,train
FdMmcneUdYc,250,airplane flyby,train
7tjjOexHSnY,298,airplane flyby,train
SiAW6u4Yt1w,270,airplane flyby,train
e1IM6nXsdQc,47,airplane flyby,train
yZ1RDoHhAT0,84,airplane flyby,train
9wtuDVCro8Y,130,airplane flyby,train
3Okx0T5vpFc,192,airplane flyby,train
ybrViJtAHGA,0,airplane flyby,train
9RUUoJLGil8,201,airplane flyby,train
bXMUJYVeCLA,14,airplane flyby,train
2tySiVDqMw4,127,airplane flyby,train
TUoc-XL84U4,3,airplane flyby,train
9aMJBg9UaoM,3,airplane flyby,train
nCLoecW2VzM,61,airplane flyby,train
FdMmcneUdYc,322,airplane flyby,train
Ye72yJyWxs8,41,airplane flyby,train
VbQN82-Ww0A,44,airplane flyby,train
qtSyd8Auazg,99,airplane flyby,train
ydRL3oSqzWg,11,airplane flyby,train
HMO0ibdFAUw,7,airplane flyby,train
jIhXi4NqTS4,189,airplane flyby,train
GIpImFxJ4Ic,107,airplane flyby,train
BVsAwIUsFF0,123,airplane flyby,train
dXwf3T2IJwY,137,airplane flyby,train
B1SipVuaIhM,95,airplane flyby,train
TUoc-XL84U4,111,airplane flyby,train
8m6ktbBTe0A,37,airplane flyby,train
hpph7-iunvI,261,airplane flyby,train
h0Mvpk3jsVM,48,airplane flyby,train
JultKcPcKjk,41,airplane flyby,train
AlTNj6IWey4,112,airplane flyby,train
mCb9RfQKf5U,557,airplane flyby,train
ChCmJfn62OU,86,airplane flyby,train
LZ34HTfX8nU,67,airplane flyby,train
jANMoQFhqYc,18,airplane flyby,train
BVsAwIUsFF0,113,airplane flyby,train
bWVBcIL3NYs,19,airplane flyby,train
f8s1IXbOQCk,100,airplane flyby,train
2TkyCqUJhig,192,airplane flyby,train
Ns2-wPrXP10,39,airplane flyby,train
Dri7hupMO-k,375,airplane flyby,train
YdjsatpizhE,23,airplane flyby,train
qtSyd8Auazg,110,airplane flyby,train
jlo9aFWLUzs,114,airplane flyby,train
rXT00WpwDrU,50,airplane flyby,train
Ct7XprHhuu0,52,airplane flyby,train
f8s1IXbOQCk,148,airplane flyby,train
JqfWmGGrP8Q,115,airplane flyby,train
9wtuDVCro8Y,212,airplane flyby,train
33MDrzEOayI,2,airplane flyby,train
gpDkuPTITZI,49,airplane flyby,train
PzX7l1bpB04,62,airplane flyby,train
KW0Tbjni7GY,139,airplane flyby,train
K3HC7cgJL3U,40,airplane flyby,train
p26NYiRXm2s,177,airplane flyby,train
rAxdCMD7feY,82,airplane flyby,train
KVAiGYBrajs,144,airplane flyby,train
38Z3ovrzVdo,158,airplane flyby,train
4637LMn674w,0,airplane flyby,train
F16D28CMlaQ,294,airplane flyby,train
nTfeQ5Xsw14,90,airplane flyby,train
Xit--JehrzY,91,airplane flyby,train
7XLMpyqLP7k,82,airplane flyby,train
gRzOb0OG36A,37,airplane flyby,train
HlPWNcDgyps,166,airplane flyby,train
ojpMHD-1aBo,32,airplane flyby,train
Ye72yJyWxs8,21,airplane flyby,train
kN5p96Brr2Q,43,airplane flyby,train
rFNnj8Jb2ms,36,airplane flyby,train
GIpImFxJ4Ic,45,airplane flyby,train
E0IZHGIGztU,2,airplane flyby,train
OJUeu2S6Jw8,2,airplane flyby,train
DTU30MNjCx0,36,airplane flyby,train
l2pa-h42fBQ,6,airplane flyby,train
h0Mvpk3jsVM,120,airplane flyby,train
mCb9RfQKf5U,295,airplane flyby,train
k2RUKscPVBI,89,airplane flyby,train
ycwXi-6KGdI,8,airplane flyby,train
xzTFQZ7dUc4,460,airplane flyby,train
glzG9lizkSc,138,airplane flyby,train
EfMWxR1B-Nw,17,airplane flyby,train
ChCmJfn62OU,99,airplane flyby,train
KVAiGYBrajs,108,airplane flyby,train
7tjjOexHSnY,124,airplane flyby,train
EUrkjSUU11c,110,airplane flyby,train
nKdFTqPfqzQ,10,airplane flyby,train
eisk1CSIUK4,73,airplane flyby,train
yGWE7WSbqic,226,airplane flyby,train
ju1OFvlqXSI,10,airplane flyby,train
k6azlt9Ar0U,78,airplane flyby,train
Wg4EMBrTFvc,94,airplane flyby,train
A8c2gxlw0MU,159,airplane flyby,train
eCC6ZbZvG8I,24,airplane flyby,train
u6K4iSxET6g,44,airplane flyby,train
-C8RKRnU2pg,113,airplane flyby,train
Dri7hupMO-k,303,airplane flyby,train
ceDz8WgcexA,9,airplane flyby,train
Wlp0RjEb2Ek,31,airplane flyby,train
dU97UxsYbq4,40,airplane flyby,train
NQQqTAFuFxw,92,airplane flyby,train
MeoQ4yTvkAg,1,airplane flyby,train
SZFKobdvpV4,48,airplane flyby,train
KSyS5UvfRik,26,airplane flyby,train
nGHUnilIupU,89,airplane flyby,train
IHrz8URnta4,139,airplane flyby,train
pr9Ot9KGVLc,181,airplane flyby,train
ooAmJ2z6Qs0,42,airplane flyby,train
TGngN3n7EMw,24,airplane flyby,train
zBa49YhlG2Q,68,airplane flyby,train
7o9DKlvDOOs,15,airplane flyby,train
k2RUKscPVBI,27,airplane flyby,train
HMO0ibdFAUw,85,airplane flyby,train
Nv8-3VsF2c8,21,airplane flyby,train
70Sd8h3XXvU,14,airplane flyby,train
Kci3xCPkRMg,34,airplane flyby,train
jANMoQFhqYc,4,airplane flyby,train
NQMVimFTAwk,10,airplane flyby,train
fIATenI7nKQ,65,baby laughter,train
hgjC68KOjSQ,14,baby laughter,train
qk1mZ0WzNGY,52,baby laughter,train
MZFFWT9yS68,9,baby laughter,train
Zu7BkwOJptk,10,baby laughter,train
E9AGYDEFlEI,241,baby laughter,train
cRxTQHFZM6U,7,baby laughter,train
LzSPqRWm9wI,75,baby laughter,train
bjVfnULGpQs,24,baby laughter,train
qk1mZ0WzNGY,69,baby laughter,train
9FqmQeuCsFg,0,baby laughter,train
X954lfedmUw,285,baby laughter,train
8lb6Pi4f6w0,13,baby laughter,train
OuXuZU97Fy0,585,baby laughter,train
D9hUmg4VYqo,85,baby laughter,train
FJzKgF-nR0E,7,baby laughter,train
p0QI1jgrj7g,7,baby laughter,train
sC5ZzPHmuTQ,78,baby laughter,train
asVSmjoKaK0,64,baby laughter,train
8yMM84j-ei4,10,baby laughter,train
SaopkcjT-Ek,56,baby laughter,train
9ESGjQB0AXg,20,baby laughter,train
410a7OTvb44,153,baby laughter,train
3yYmj2UGVGo,23,baby laughter,train
FQUn70b4dUQ,30,baby laughter,train
vC9T4fib60Y,36,baby laughter,train
asVSmjoKaK0,12,baby laughter,train
MZFFWT9yS68,24,baby laughter,train
p7G5zfq-wyg,0,baby laughter,train
fIATenI7nKQ,29,baby laughter,train
pvBIOAXIAeU,40,baby laughter,train
VZxbtcWYAYg,10,baby laughter,train
NoOEjmc6mBA,0,baby laughter,train
jGx9C5cJmUg,11,baby laughter,train
2fs4lMZyoZU,295,baby laughter,train
mA03jXEqLYU,1,baby laughter,train
KcG1Y4hMU-Y,295,baby laughter,train
JCbD3CuQa1o,119,baby laughter,train
QpiSp4EJuJc,13,baby laughter,train
Ye1N7RGcwZI,26,baby laughter,train
DJ-71Qyp8dE,276,baby laughter,train
qBhGnvK5N6U,531,baby laughter,train
WsQSpcsNxH0,92,baby laughter,train
aM9fEuqoIyE,92,baby laughter,train
sC5ZzPHmuTQ,3,baby laughter,train
HaCfZHSzX9c,10,baby laughter,train
WnrS8oyJZ5A,40,baby laughter,train
Cq8NbvEOd3E,65,baby laughter,train
rkolACeUZMg,61,baby laughter,train
Q5I7m66PfHU,90,baby laughter,train
j-9-8W2dIOM,575,baby laughter,train
410a7OTvb44,114,baby laughter,train
OhsIM6TUrbI,22,baby laughter,train
Y8TSOtGNqSk,53,baby laughter,train
3iNuhKGnDHQ,53,baby laughter,train
DvIsY64J4XY,258,baby laughter,train
SaopkcjT-Ek,149,baby laughter,train
qDA2otAgjMQ,40,baby laughter,train
nlLQWRZOipc,40,baby laughter,train
JCbD3CuQa1o,89,baby laughter,train
31zYecZJHrE,30,baby laughter,train
pmbLhGZYFbk,35,baby laughter,train
FZeumnomDMA,33,baby laughter,train
oDKOegNAeyk,0,baby laughter,train
p7G5zfq-wyg,31,baby laughter,train
QnhAw5LD8XQ,29,baby laughter,train
3yYmj2UGVGo,39,baby laughter,train
aM9fEuqoIyE,14,baby laughter,train
hgjC68KOjSQ,76,baby laughter,train
-saFMqj-M8I,30,baby laughter,train
l06ZeoHnHwI,26,baby laughter,train
inkJk79d7yg,10,baby laughter,train
OhsIM6TUrbI,5,baby laughter,train
KcG1Y4hMU-Y,126,baby laughter,train
YTjEEYzIQQ0,101,baby laughter,train
DvIsY64J4XY,310,baby laughter,train
J8G6FoqUQDc,84,baby laughter,train
inkJk79d7yg,52,baby laughter,train
DJ-71Qyp8dE,206,baby laughter,train
D9hUmg4VYqo,27,baby laughter,train
jrLhk6o6Ukg,14,baby laughter,train
Vc0k17IYTRI,34,baby laughter,train
ILQoE0nox84,11,baby laughter,train
ZHRZ7-JVU6M,38,baby laughter,train
x3mI2f1xMFs,57,baby laughter,train
wPUzOZouREo,110,baby laughter,train
pmbLhGZYFbk,5,baby laughter,train
KwiSnqxMzz8,0,baby laughter,train
vgEUR4H3j2w,41,baby laughter,train
O1wEumOtzEw,10,baby laughter,train
RvyfGxVtRVk,173,baby laughter,train
FZeumnomDMA,58,baby laughter,train
l06ZeoHnHwI,100,baby laughter,train
ke9dMnJhwdk,19,baby laughter,train
nknSOSm0ThY,7,baby laughter,train
Oeb1IJ3Kvs4,0,baby laughter,train
yHrDUJFXxjY,0,baby laughter,train
txjIQ01Ld2w,28,baby laughter,train
vgEUR4H3j2w,167,baby laughter,train
MEp8J9v7rMk,0,baby laughter,train
3iNuhKGnDHQ,8,baby laughter,train
txjIQ01Ld2w,38,baby laughter,train
ms75d9J4k1c,40,baby laughter,train
LgPWTQNtSFE,35,baby laughter,train
GWL7uOrcUAU,345,baby laughter,train
Vc0k17IYTRI,111,baby laughter,train
UtJlZdqvqoQ,90,baby laughter,train
GWL7uOrcUAU,1,baby laughter,train
KjQiYYuJcDw,129,baby laughter,train
3uIMzwtiJX8,231,baby laughter,train
Jen7Hq4Mp5E,10,baby laughter,train
R2AqN51ZPCw,51,baby laughter,train
m5UzW4ol8-E,20,baby laughter,train
iZFmlvHjaPs,30,baby laughter,train
YkAnDp8IhdA,0,baby laughter,train
WsQSpcsNxH0,104,baby laughter,train
rkolACeUZMg,161,baby laughter,train
rzP98wnHYzY,80,baby laughter,train
Ye1N7RGcwZI,10,baby laughter,train
3uIMzwtiJX8,337,baby laughter,train
j-9-8W2dIOM,291,baby laughter,train
7fymQoOewBI,450,baby laughter,train
N-jJCxh7tqI,10,baby laughter,train
qBhGnvK5N6U,393,baby laughter,train
2fs4lMZyoZU,524,baby laughter,train
8yMM84j-ei4,27,baby laughter,train
I7oiTxMt-xA,110,baby laughter,train
RvyfGxVtRVk,124,baby laughter,train
qDA2otAgjMQ,97,baby laughter,train
pL08pJYxNUI,0,baby laughter,train
Oeb1IJ3Kvs4,10,baby laughter,train
MEp8J9v7rMk,10,baby laughter,train
gRwsXwSRDH0,23,baby laughter,train
LgPWTQNtSFE,59,baby laughter,train
xdjA0WWAmi4,30,baby laughter,train
MnD5hZssyIg,130,baby laughter,train
LB2EbSmDSKw,7,baby laughter,train
YWD3AJISyIA,64,baby laughter,train
Cq8NbvEOd3E,8,baby laughter,train
MnD5hZssyIg,15,baby laughter,train
w8pjAEydE-4,1,baby laughter,train
p0QI1jgrj7g,21,baby laughter,train
HuAQ6KKXQHo,368,baby laughter,train
vC9T4fib60Y,3,baby laughter,train
1uyZNb7V7Bs,30,baby laughter,train
LzSPqRWm9wI,90,baby laughter,train
p6OTZGmiVYE,544,baby laughter,train
dMN-pjcchrE,12,baby laughter,train
bjVfnULGpQs,7,baby laughter,train
jrLhk6o6Ukg,3,baby laughter,train
YTjEEYzIQQ0,135,baby laughter,train
S-AKvTAmWsM,30,baby laughter,train
lPHa02bZ7js,9,baby laughter,train
zeYOrryTz-0,20,baby laughter,train
9T3YSXQWZ0g,419,baby laughter,train
R2AqN51ZPCw,67,baby laughter,train
gRwsXwSRDH0,11,baby laughter,train
8lb6Pi4f6w0,0,baby laughter,train
ZHRZ7-JVU6M,22,baby laughter,train
cr0GiZr0TNY,10,baby laughter,train
SIilbRdyIDc,160,basketball bounce,train
7m01dMUjK14,9,basketball bounce,train
E4OreeP4NrQ,570,basketball bounce,train
sLJBSorp9yA,3,basketball bounce,train
u04cEpL3iDI,77,basketball bounce,train
FapnrFOTc6M,2,basketball bounce,train
y5ElhmRD67M,90,basketball bounce,train
zRuoVnq9cP4,943,basketball bounce,train
L02hOLWWjxM,232,basketball bounce,train
yMFR06zMneM,698,basketball bounce,train
Fv9a7t7OBss,230,basketball bounce,train
EmcREwyHLO4,176,basketball bounce,train
pPmfbhVGbIQ,84,basketball bounce,train
Rb0IEIeJTKY,2,basketball bounce,train
QtWUI4QJFl4,6,basketball bounce,train
SgxQaut08Gs,273,basketball bounce,train
WIL20Cnep9U,24,basketball bounce,train
SiJ2dNAwGm8,16,basketball bounce,train
-mjzkxlVkZg,233,basketball bounce,train
HupjSIzGMDU,40,basketball bounce,train
KR9-BFXVHks,214,basketball bounce,train
erKDJALC82A,64,basketball bounce,train
I8jKzLbz3vQ,0,basketball bounce,train
E7mlDVmeZU4,333,basketball bounce,train
Grw6HjwrLnc,110,basketball bounce,train
7Q4yFahFD7o,52,basketball bounce,train
ZRdbwYwr3qQ,406,basketball bounce,train
AUYcwy8R0BU,7,basketball bounce,train
H5wBI98NXEE,58,basketball bounce,train
hUlqIdQFuxE,30,basketball bounce,train
dbKwrGJrZuo,14,basketball bounce,train
sFZUzroHQeQ,138,basketball bounce,train
nmSxQopSuNo,266,basketball bounce,train
Jr60re79KxU,4,basketball bounce,train
2dih3AAlObo,10,basketball bounce,train
Lm8qmWflU3M,10,basketball bounce,train
-2xn5g7sfrU,44,basketball bounce,train
Jgq2N5xKTJE,40,basketball bounce,train
ozz93xg3HTk,33,basketball bounce,train
LuyGdGy8M44,10,basketball bounce,train
fj-hBepkjwY,47,basketball bounce,train
mF9X1XChFIA,370,basketball bounce,train
dZiLxgQW8dg,450,basketball bounce,train
XLiEencnz68,276,basketball bounce,train
twSJiit6nOc,60,basketball bounce,train
BCQ2bWLSf-Y,57,basketball bounce,train
ouZ768SWYxs,240,basketball bounce,train
l3St84WwK2I,11,basketball bounce,train
QV55k8O8ObU,100,basketball bounce,train
8htMHMJKF9c,46,basketball bounce,train
QWahm9HZGNw,10,basketball bounce,train
zJmk7BOe1AM,0,basketball bounce,train
8Ut2zYiTUlc,22,basketball bounce,train
xWcgGCFJoUs,656,basketball bounce,train
3vCRfWuJDNc,15,basketball bounce,train
vGPn8T4eXZ4,2,basketball bounce,train
mUKjxkWLtuA,90,basketball bounce,train
SiJ2dNAwGm8,17,basketball bounce,train
OvSFYmIygwM,23,basketball bounce,train
3EihTXRPSOU,137,basketball bounce,train
kH7pK90LaUc,99,basketball bounce,train
94jh9txNtWQ,159,basketball bounce,train
E5BHS7bWWOw,10,basketball bounce,train
q5SlNijPksU,142,basketball bounce,train
EmcREwyHLO4,107,basketball bounce,train
ESjJnbgktbQ,22,basketball bounce,train
BPQOTj6zgNg,295,basketball bounce,train
cSreN48pmDI,24,basketball bounce,train
3uDxHymUoIE,63,basketball bounce,train
2fCC4BkdMT0,106,basketball bounce,train
JR1oLfljnHQ,103,basketball bounce,train
JE0YVqEPovY,3,basketball bounce,train
7Q4yFahFD7o,68,basketball bounce,train
hP1EFUMhfZA,135,basketball bounce,train
QsWliSpzDrI,40,basketball bounce,train
WIL20Cnep9U,13,basketball bounce,train
c29u91S5qpc,75,basketball bounce,train
mbGcNpTHgog,80,basketball bounce,train
oGT3waf-11Q,267,basketball bounce,train
-RYQN6bHb-E,40,basketball bounce,train
8qe2hxkISU0,222,basketball bounce,train
H7CasEDbUQI,0,basketball bounce,train
i6Jeuo1NKpg,8,basketball bounce,train
RjDmyW4RJ64,44,basketball bounce,train
v5UlSsnmsSs,80,basketball bounce,train
NfUlDT6HNs8,90,basketball bounce,train
KvVz2-zVgKM,8,basketball bounce,train
-GxNDcOTjOg,146,basketball bounce,train
2i9fQGVF2bs,40,basketball bounce,train
xZW0B9UwO2M,27,basketball bounce,train
Xjm0rC42qxo,250,basketball bounce,train
zJfXpMlczl8,2,basketball bounce,train
C5DmrdolSV4,440,basketball bounce,train
ecy6bOYEJyY,123,basketball bounce,train
bFmIV3pNJPY,1,basketball bounce,train
NF1Kw-l68r8,46,basketball bounce,train
Tm5T1EPBwmU,17,basketball bounce,train
rzGRRUqJAnA,50,basketball bounce,train
lbMj7JELG6I,20,basketball bounce,train
WhLtbF0uko0,1,basketball bounce,train
jPJhyV4hOxM,310,basketball bounce,train
UOswYEzeJ-M,20,basketball bounce,train
i0TUmKLObd8,270,basketball bounce,train
wZ9rRz0UecU,1,basketball bounce,train
ryZzR8RtpzQ,470,basketball bounce,train
ZvgJ7mVxeg0,14,basketball bounce,train
ENQBXODItVI,100,basketball bounce,train
JisAf9DgxYY,30,basketball bounce,train
gfC41zXzOJ0,77,basketball bounce,train
2fCC4BkdMT0,20,basketball bounce,train
CL2HqFrcQZg,40,basketball bounce,train
b1yLCYcLlBI,34,basketball bounce,train
-knCgTvPqXk,12,basketball bounce,train
2iAhlZ0WrfM,100,basketball bounce,train
Nhperc1DPXE,40,basketball bounce,train
sxQ8z6tXde8,110,basketball bounce,train
s4Qf1rH0dpA,0,basketball bounce,train
i1J3EXcLIts,46,basketball bounce,train
gyRIkGgDXEo,20,basketball bounce,train
jvLCtBVuYOg,0,basketball bounce,train
y45Bgha25S8,8,basketball bounce,train
tWvdli5SM7I,205,basketball bounce,train
BuZ6TVEZP8w,20,basketball bounce,train
FDbTauspi9s,79,basketball bounce,train
xKkvPebHNXk,209,basketball bounce,train
O9ukofWeYzA,190,basketball bounce,train
qpKUzPdyHII,50,basketball bounce,train
pNQcM0D8igQ,159,basketball bounce,train
JNbur8UGSQQ,204,basketball bounce,train
W5-FAA1H8AE,35,basketball bounce,train
u2Cjfoq9rIc,105,basketball bounce,train
g992-a5BA8I,70,basketball bounce,train
aBIZSD2a1Hs,260,basketball bounce,train
e9xcwUoVGjQ,138,basketball bounce,train
aMI37J-JJjs,188,basketball bounce,train
xhVqCDaH--E,12,basketball bounce,train
wH79CAnB9Vw,83,basketball bounce,train
UExixStMm9o,460,basketball bounce,train
KR9-BFXVHks,295,basketball bounce,train
sKay2FzZAjE,0,basketball bounce,train
YGSjIelNe4M,356,basketball bounce,train
RjogI2AWTwc,100,basketball bounce,train
Qinw3ZPqSgs,5,basketball bounce,train
mE295ggKbHU,216,basketball bounce,train
8Azof4Cn9y8,70,basketball bounce,train
NfUlDT6HNs8,57,basketball bounce,train
mM-G3cNKwO8,7,basketball bounce,train
pPmfbhVGbIQ,6,basketball bounce,train
p2Fyxl30HzA,157,basketball bounce,train
Xe3-JMCKAoo,149,basketball bounce,train
BaMIYW1bZGc,30,basketball bounce,train
JVzYYyVqWgU,442,basketball bounce,train
et2X2ADec-A,10,basketball bounce,train
hP5Rj-1nDYU,260,basketball bounce,train
-WcjGzWVqNU,120,basketball bounce,train
jKkOYEW7RvQ,251,basketball bounce,train
hufFkhv8pq8,169,basketball bounce,train
QE0UcPR1Yck,192,basketball bounce,train
-pn-dj0g8aM,8,basketball bounce,train
bCyUYxs09nw,114,basketball bounce,train
I5ECnXmzfCo,135,basketball bounce,train
FQqwy9PPhX4,60,basketball bounce,train
Yhwl4W8HcNY,40,basketball bounce,train
mdpDRmjhnw8,663,basketball bounce,train
xKkvPebHNXk,110,basketball bounce,train
izr8BCCKL4U,234,basketball bounce,train
ZVmiQ2GMK0g,430,basketball bounce,train
SCskHem1qzo,60,basketball bounce,train
g5LkuFu5nfE,130,basketball bounce,train
GW04w0Y1GlE,10,basketball bounce,train
Ws-Eu0-540g,428,basketball bounce,train
ROtmQ7XKE-A,90,basketball bounce,train
OHvwoMN3BMg,105,basketball bounce,train
vcPc9POHisg,324,basketball bounce,train
Gx5wjGJ-pmc,408,basketball bounce,train
DM7l2cIdc9s,10,basketball bounce,train
KdZZtw6INlU,6,basketball bounce,train
HBmVSj17Z2Q,49,basketball bounce,train
O--jGGk9bSU,88,basketball bounce,train
lDzRvZcFn48,79,basketball bounce,train
HBmVSj17Z2Q,665,basketball bounce,train
c29u91S5qpc,129,basketball bounce,train
D7EjTsIMAx8,6,basketball bounce,train
3QKfLG7mauA,138,basketball bounce,train
8I0xQaVN8ZU,90,basketball bounce,train
O-ojEIkTC2I,410,basketball bounce,train
KbHPe6PdKhA,1,basketball bounce,train
q9qBrHHHwDg,63,basketball bounce,train
UFMaKcMz4kw,115,basketball bounce,train
CWFnfL-5X-M,30,basketball bounce,train
x41vxSm2Ozs,170,basketball bounce,train
ZZYQ8weiEhI,10,basketball bounce,train
a6q3YYYsKdo,166,basketball bounce,train
n9IRKYSgeGs,140,basketball bounce,train
owrkCTwseis,69,basketball bounce,train
KvVz2-zVgKM,83,basketball bounce,train
OFQaORu7Y2U,59,basketball bounce,train
tpuXjp8znX0,0,basketball bounce,train
GMN18VzEK0I,464,basketball bounce,train
ri2DVH0Q-so,40,basketball bounce,train
YRIMQi7X7mI,147,basketball bounce,train
q4KDFkqr-7I,16,basketball bounce,train
ZwxTPKDUcw0,147,basketball bounce,train
fAAElieB9x4,50,basketball bounce,train
l9gp5hAkHRc,145,basketball bounce,train
UN9xMWR42C0,81,basketball bounce,train
Y994YFpvPJI,7,basketball bounce,train
iXqAXqbC27g,253,basketball bounce,train
dASAyZzLCtw,15,basketball bounce,train
iQEFMDfhiho,294,basketball bounce,train
LFVsprdafNQ,0,basketball bounce,train
8RMEF65f3fQ,350,basketball bounce,train
1bSnGCuqF9w,16,basketball bounce,train
gy3JXA64nsI,147,basketball bounce,train
UchFk2CLiSE,169,basketball bounce,train
aSkVQ21SeQg,1,basketball bounce,train
JZ9jM2yfRuI,94,basketball bounce,train
Tm5T1EPBwmU,1,basketball bounce,train
jSInurayDqk,3,basketball bounce,train
wrprLj3AAXc,109,basketball bounce,train
jvcJhahuCzc,20,basketball bounce,train
Jw-K6-Ou7Nw,153,basketball bounce,train
v-v2LZgK8lY,20,basketball bounce,train
